title,abstract,published
"E2MoCase: A Dataset for Emotional, Event and Moral Observations in News Articles on High-impact Legal Cases","The way media reports on legal cases can significantly shape public opinion,
often embedding subtle biases that influence societal views on justice and
morality. Analyzing these biases requires a holistic approach that captures the
emotional tone, moral framing, and specific events within the narratives. In
this work we introduce E2MoCase, a novel dataset designed to facilitate the
integrated analysis of emotions, moral values, and events within legal
narratives and media coverage. By leveraging advanced models for emotion
detection, moral value identification, and event extraction, E2MoCase offers a
multi-dimensional perspective on how legal cases are portrayed in news
articles.",2024-09-13 17:31:09+00:00
Biomimetic Frontend for Differentiable Audio Processing,"While models in audio and speech processing are becoming deeper and more
end-to-end, they as a consequence need expensive training on large data, and
are often brittle. We build on a classical model of human hearing and make it
differentiable, so that we can combine traditional explainable biomimetic
signal processing approaches with deep-learning frameworks. This allows us to
arrive at an expressive and explainable model that is easily trained on modest
amounts of data. We apply this model to audio processing tasks, including
classification and enhancement. Results show that our differentiable model
surpasses black-box approaches in terms of computational efficiency and
robustness, even with little training data. We also discuss other potential
applications.",2024-09-13 17:23:42+00:00
Clean Label Attacks against SLU Systems,"Poisoning backdoor attacks involve an adversary manipulating the training
data to induce certain behaviors in the victim model by inserting a trigger in
the signal at inference time. We adapted clean label backdoor (CLBD)-data
poisoning attacks, which do not modify the training labels, on state-of-the-art
speech recognition models that support/perform a Spoken Language Understanding
task, achieving 99.8% attack success rate by poisoning 10% of the training
data. We analyzed how varying the signal-strength of the poison, percent of
samples poisoned, and choice of trigger impact the attack. We also found that
CLBD attacks are most successful when applied to training samples that are
inherently hard for a proxy model. Using this strategy, we achieved an attack
success rate of 99.3% by poisoning a meager 1.5% of the training data. Finally,
we applied two previously developed defenses against gradient-based attacks,
and found that they attain mixed success against poisoning.",2024-09-13 16:58:06+00:00
"Predicting Trust In Autonomous Vehicles: Modeling Young Adult Psychosocial Traits, Risk-Benefit Attitudes, And Driving Factors With Machine Learning","Low trust remains a significant barrier to Autonomous Vehicle (AV) adoption.
To design trustworthy AVs, we need to better understand the individual traits,
attitudes, and experiences that impact people's trust judgements. We use
machine learning to understand the most important factors that contribute to
young adult trust based on a comprehensive set of personal factors gathered via
survey (n = 1457). Factors ranged from psychosocial and cognitive attributes to
driving style, experiences, and perceived AV risks and benefits. Using the
explainable AI technique SHAP, we found that perceptions of AV risks and
benefits, attitudes toward feasibility and usability, institutional trust,
prior experience, and a person's mental model are the most important
predictors. Surprisingly, psychosocial and many technology- and
driving-specific factors were not strong predictors. Results highlight the
importance of individual differences for designing trustworthy AVs for diverse
groups and lead to key implications for future design and research.",2024-09-13 16:52:24+00:00
PINNfluence: Influence Functions for Physics-Informed Neural Networks,"Recently, physics-informed neural networks (PINNs) have emerged as a flexible
and promising application of deep learning to partial differential equations in
the physical sciences. While offering strong performance and competitive
inference speeds on forward and inverse problems, their black-box nature limits
interpretability, particularly regarding alignment with expected physical
behavior. In the present work, we explore the application of influence
functions (IFs) to validate and debug PINNs post-hoc. Specifically, we apply
variations of IF-based indicators to gauge the influence of different types of
collocation points on the prediction of PINNs applied to a 2D Navier-Stokes
fluid flow problem. Our results demonstrate how IFs can be adapted to PINNs to
reveal the potential for further studies.",2024-09-13 16:23:17+00:00
A Bayesian Approach to Clustering via the Proper Bayesian Bootstrap: the Bayesian Bagged Clustering (BBC) algorithm,"The paper presents a novel approach for unsupervised techniques in the field
of clustering. A new method is proposed to enhance existing literature models
using the proper Bayesian bootstrap to improve results in terms of robustness
and interpretability. Our approach is organized in two steps: k-means
clustering is used for prior elicitation, then proper Bayesian bootstrap is
applied as resampling method in an ensemble clustering approach. Results are
analyzed introducing measures of uncertainty based on Shannon entropy. The
proposal provides clear indication on the optimal number of clusters, as well
as a better representation of the clustered data. Empirical results are
provided on simulated data showing the methodological and empirical advances
obtained.",2024-09-13 16:14:54+00:00
Pushing the boundaries of event subsampling in event-based video classification using CNNs,"Event cameras offer low-power visual sensing capabilities ideal for
edge-device applications. However, their high event rate, driven by high
temporal details, can be restrictive in terms of bandwidth and computational
resources. In edge AI applications, determining the minimum amount of events
for specific tasks can allow reducing the event rate to improve bandwidth,
memory, and processing efficiency. In this paper, we study the effect of event
subsampling on the accuracy of event data classification using convolutional
neural network (CNN) models. Surprisingly, across various datasets, the number
of events per video can be reduced by an order of magnitude with little drop in
accuracy, revealing the extent to which we can push the boundaries in accuracy
vs. event rate trade-off. Additionally, we also find that lower classification
accuracy in high subsampling rates is not solely attributable to information
loss due to the subsampling of the events, but that the training of CNNs can be
challenging in highly subsampled scenarios, where the sensitivity to
hyperparameters increases. We quantify training instability across multiple
event-based classification datasets using a novel metric for evaluating the
hyperparameter sensitivity of CNNs in different subsampling settings. Finally,
we analyze the weight gradients of the network to gain insight into this
instability.",2024-09-13 16:14:45+00:00
A Diffusion Approach to Radiance Field Relighting using Multi-Illumination Synthesis,"Relighting radiance fields is severely underconstrained for multi-view data,
which is most often captured under a single illumination condition; It is
especially hard for full scenes containing multiple objects. We introduce a
method to create relightable radiance fields using such single-illumination
data by exploiting priors extracted from 2D image diffusion models. We first
fine-tune a 2D diffusion model on a multi-illumination dataset conditioned by
light direction, allowing us to augment a single-illumination capture into a
realistic -- but possibly inconsistent -- multi-illumination dataset from
directly defined light directions. We use this augmented data to create a
relightable radiance field represented by 3D Gaussian splats. To allow direct
control of light direction for low-frequency lighting, we represent appearance
with a multi-layer perceptron parameterized on light direction. To enforce
multi-view consistency and overcome inaccuracies we optimize a per-image
auxiliary feature vector. We show results on synthetic and real multi-view data
under single illumination, demonstrating that our method successfully exploits
2D diffusion model priors to allow realistic 3D relighting for complete scenes.
Project site
https://repo-sam.inria.fr/fungraph/generative-radiance-field-relighting/",2024-09-13 16:07:25+00:00
DELTA: Dual Consistency Delving with Topological Uncertainty for Active Graph Domain Adaptation,"Graph domain adaptation has recently enabled knowledge transfer across
different graphs. However, without the semantic information on target graphs,
the performance on target graphs is still far from satisfactory. To address the
issue, we study the problem of active graph domain adaptation, which selects a
small quantitative of informative nodes on the target graph for extra
annotation. This problem is highly challenging due to the complicated
topological relationships and the distribution discrepancy across graphs. In
this paper, we propose a novel approach named Dual Consistency Delving with
Topological Uncertainty (DELTA) for active graph domain adaptation. Our DELTA
consists of an edge-oriented graph subnetwork and a path-oriented graph
subnetwork, which can explore topological semantics from complementary
perspectives. In particular, our edge-oriented graph subnetwork utilizes the
message passing mechanism to learn neighborhood information, while our
path-oriented graph subnetwork explores high-order relationships from
substructures. To jointly learn from two subnetworks, we roughly select
informative candidate nodes with the consideration of consistency across two
subnetworks. Then, we aggregate local semantics from its K-hop subgraph based
on node degrees for topological uncertainty estimation. To overcome potential
distribution shifts, we compare target nodes and their corresponding source
nodes for discrepancy scores as an additional component for fine selection.
Extensive experiments on benchmark datasets demonstrate that DELTA outperforms
various state-of-the-art approaches.",2024-09-13 16:06:18+00:00
Pushing Joint Image Denoising and Classification to the Edge,"In this paper, we jointly combine image classification and image denoising,
aiming to enhance human perception of noisy images captured by edge devices,
like low-light security cameras. In such settings, it is important to retain
the ability of humans to verify the automatic classification decision and thus
jointly denoise the image to enhance human perception. Since edge devices have
little computational power, we explicitly optimize for efficiency by proposing
a novel architecture that integrates the two tasks. Additionally, we alter a
Neural Architecture Search (NAS) method, which searches for classifiers to
search for the integrated model while optimizing for a target latency,
classification accuracy, and denoising performance. The NAS architectures
outperform our manually designed alternatives in both denoising and
classification, offering a significant improvement to human perception. Our
approach empowers users to construct architectures tailored to domains like
medical imaging, surveillance systems, and industrial inspections.",2024-09-13 16:01:27+00:00
Average-Reward Maximum Entropy Reinforcement Learning for Underactuated Double Pendulum Tasks,"This report presents a solution for the swing-up and stabilisation tasks of
the acrobot and the pendubot, developed for the AI Olympics competition at IROS
2024. Our approach employs the Average-Reward Entropy Advantage Policy
Optimization (AR-EAPO), a model-free reinforcement learning (RL) algorithm that
combines average-reward RL and maximum entropy RL. Results demonstrate that our
controller achieves improved performance and robustness scores compared to
established baseline methods in both the acrobot and pendubot scenarios,
without the need for a heavily engineered reward function or system model. The
current results are applicable exclusively to the simulation stage setup.",2024-09-13 15:56:26+00:00
SynSUM -- Synthetic Benchmark with Structured and Unstructured Medical Records,"We present the SynSUM benchmark, a synthetic dataset linking unstructured
clinical notes to structured background variables. The dataset consists of
10,000 artificial patient records containing tabular variables (like symptoms,
diagnoses and underlying conditions) and related notes describing the fictional
patient encounter in the domain of respiratory diseases. The tabular portion of
the data is generated through a Bayesian network, where both the causal
structure between the variables and the conditional probabilities are proposed
by an expert based on domain knowledge. We then prompt a large language model
(GPT-4o) to generate a clinical note related to this patient encounter,
describing the patient symptoms and additional context. The SynSUM dataset is
primarily designed to facilitate research on clinical information extraction in
the presence of tabular background variables, which can be linked through
domain knowledge to concepts of interest to be extracted from the text - the
symptoms, in the case of SynSUM. Secondary uses include research on the
automation of clinical reasoning over both tabular data and text, causal effect
estimation in the presence of tabular and/or textual confounders, and
multi-modal synthetic data generation. The dataset can be downloaded from
https://github.com/prabaey/SynSUM.",2024-09-13 15:55:15+00:00
Optimization and Generalization Guarantees for Weight Normalization,"Weight normalization (WeightNorm) is widely used in practice for the training
of deep neural networks and modern deep learning libraries have built-in
implementations of it. In this paper, we provide the first theoretical
characterizations of both optimization and generalization of deep WeightNorm
models with smooth activation functions. For optimization, from the form of the
Hessian of the loss, we note that a small Hessian of the predictor leads to a
tractable analysis. Thus, we bound the spectral norm of the Hessian of
WeightNorm networks and show its dependence on the network width and weight
normalization terms--the latter being unique to networks without WeightNorm.
Then, we use this bound to establish training convergence guarantees under
suitable assumptions for gradient decent. For generalization, we use WeightNorm
to get a uniform convergence based generalization bound, which is independent
from the width and depends sublinearly on the depth. Finally, we present
experimental results which illustrate how the normalization terms and other
quantities of theoretical interest relate to the training of WeightNorm
networks.",2024-09-13 15:55:05+00:00
"Yes, Prime Minister, question order does matter -- and it's certainly not classical! But is it quantum?","Response to a poll can be manipulated by means of a series of leading
questions. We show that such phenomena cannot be explained by use of classical
probability theory, whereas quantum probability theory admits a possibility of
offering an explanation. Admissible transformation rules in quantum
probability, however, do impose some constraints on the modelling of cognitive
behaviour, which are highlighted here. Focusing on a recent poll conducted by
Ipsos on a set of questions posed by Sir Humphrey Appleby in an episode of the
British political satire \textit{Yes, Prime Minister}, we show that the
resulting data cannot be explained quite so simply using quantum rules,
although it seems not impossible.",2024-09-13 15:46:57+00:00
ClearDepth: Enhanced Stereo Perception of Transparent Objects for Robotic Manipulation,"Transparent object depth perception poses a challenge in everyday life and
logistics, primarily due to the inability of standard 3D sensors to accurately
capture depth on transparent or reflective surfaces. This limitation
significantly affects depth map and point cloud-reliant applications,
especially in robotic manipulation. We developed a vision transformer-based
algorithm for stereo depth recovery of transparent objects. This approach is
complemented by an innovative feature post-fusion module, which enhances the
accuracy of depth recovery by structural features in images. To address the
high costs associated with dataset collection for stereo camera-based
perception of transparent objects, our method incorporates a parameter-aligned,
domain-adaptive, and physically realistic Sim2Real simulation for efficient
data generation, accelerated by AI algorithm. Our experimental results
demonstrate the model's exceptional Sim2Real generalizability in real-world
scenarios, enabling precise depth mapping of transparent objects to assist in
robotic manipulation. Project details are available at
https://sites.google.com/view/cleardepth/ .",2024-09-13 15:44:38+00:00
Multi forests: Variable importance for multi-class outcomes,"In prediction tasks with multi-class outcomes, identifying covariates
specifically associated with one or more outcome classes can be important.
Conventional variable importance measures (VIMs) from random forests (RFs),
like permutation and Gini importance, focus on overall predictive performance
or node purity, without differentiating between the classes. Therefore, they
can be expected to fail to distinguish class-associated covariates from
covariates that only distinguish between groups of classes. We introduce a VIM
called multi-class VIM, tailored for identifying exclusively class-associated
covariates, via a novel RF variant called multi forests (MuFs). The trees in
MuFs use both multi-way and binary splitting. The multi-way splits generate
child nodes for each class, using a split criterion that evaluates how well
these nodes represent their respective classes. This setup forms the basis of
the multi-class VIM, which measures the discriminatory ability of the splits
performed in the respective covariates with regard to this split criterion.
Alongside the multi-class VIM, we introduce a second VIM, the discriminatory
VIM. This measure, based on the binary splits, assesses the strength of the
general influence of the covariates, irrespective of their
class-associatedness. Simulation studies demonstrate that the multi-class VIM
specifically ranks class-associated covariates highly, unlike conventional VIMs
which also rank other types of covariates highly. Analyses of 121 datasets
reveal that MuFs often have slightly lower predictive performance compared to
conventional RFs. This is, however, not a limiting factor given the algorithm's
primary purpose of calculating the multi-class VIM.",2024-09-13 15:40:29+00:00
XSub: Explanation-Driven Adversarial Attack against Blackbox Classifiers via Feature Substitution,"Despite its significant benefits in enhancing the transparency and
trustworthiness of artificial intelligence (AI) systems, explainable AI (XAI)
has yet to reach its full potential in real-world applications. One key
challenge is that XAI can unintentionally provide adversaries with insights
into black-box models, inevitably increasing their vulnerability to various
attacks. In this paper, we develop a novel explanation-driven adversarial
attack against black-box classifiers based on feature substitution, called
XSub. The key idea of XSub is to strategically replace important features
(identified via XAI) in the original sample with corresponding important
features from a ""golden sample"" of a different label, thereby increasing the
likelihood of the model misclassifying the perturbed sample. The degree of
feature substitution is adjustable, allowing us to control how much of the
original samples information is replaced. This flexibility effectively balances
a trade-off between the attacks effectiveness and its stealthiness. XSub is
also highly cost-effective in that the number of required queries to the
prediction model and the explanation model in conducting the attack is in O(1).
In addition, XSub can be easily extended to launch backdoor attacks in case the
attacker has access to the models training data. Our evaluation demonstrates
that XSub is not only effective and stealthy but also cost-effective, enabling
its application across a wide range of AI models.",2024-09-13 15:33:32+00:00
Latent Space Score-based Diffusion Model for Probabilistic Multivariate Time Series Imputation,"Accurate imputation is essential for the reliability and success of
downstream tasks. Recently, diffusion models have attracted great attention in
this field. However, these models neglect the latent distribution in a
lower-dimensional space derived from the observed data, which limits the
generative capacity of the diffusion model. Additionally, dealing with the
original missing data without labels becomes particularly problematic. To
address these issues, we propose the Latent Space Score-Based Diffusion Model
(LSSDM) for probabilistic multivariate time series imputation. Observed values
are projected onto low-dimensional latent space and coarse values of the
missing data are reconstructed without knowing their ground truth values by
this unsupervised learning approach. Finally, the reconstructed values are fed
into a conditional diffusion model to obtain the precise imputed values of the
time series. In this way, LSSDM not only possesses the power to identify the
latent distribution but also seamlessly integrates the diffusion model to
obtain the high-fidelity imputed values and assess the uncertainty of the
dataset. Experimental results demonstrate that LSSDM achieves superior
imputation performance while also providing a better explanation and
uncertainty analysis of the imputation mechanism. The website of the code is
\textit{https://github.com/gorgen2020/LSSDM\_imputation}.",2024-09-13 15:32:26+00:00
Farmer.Chat: Scaling AI-Powered Agricultural Services for Smallholder Farmers,"Small and medium-sized agricultural holders face challenges like limited
access to localized, timely information, impacting productivity and
sustainability. Traditional extension services, which rely on in-person agents,
struggle with scalability and timely delivery, especially in remote areas. We
introduce Farmer.Chat, a generative AI-powered chatbot designed to address
these issues. Leveraging Generative AI, Farmer.Chat offers personalized,
reliable, and contextually relevant advice, overcoming limitations of previous
chatbots in deterministic dialogue flows, language support, and unstructured
data processing. Deployed in four countries, Farmer.Chat has engaged over
15,000 farmers and answered over 300,000 queries. This paper highlights how
Farmer.Chat's innovative use of GenAI enhances agricultural service scalability
and effectiveness. Our evaluation, combining quantitative analysis and
qualitative insights, highlights Farmer.Chat's effectiveness in improving
farming practices, enhancing trust, response quality, and user engagement.",2024-09-13 15:31:33+00:00
HLTCOE JHU Submission to the Voice Privacy Challenge 2024,"We present a number of systems for the Voice Privacy Challenge, including
voice conversion based systems such as the kNN-VC method and the WavLM voice
Conversion method, and text-to-speech (TTS) based systems including
Whisper-VITS. We found that while voice conversion systems better preserve
emotional content, they struggle to conceal speaker identity in semi-white-box
attack scenarios; conversely, TTS methods perform better at anonymization and
worse at emotion preservation. Finally, we propose a random admixture system
which seeks to balance out the strengths and weaknesses of the two category of
systems, achieving a strong EER of over 40% while maintaining UAR at a
respectable 47%.",2024-09-13 15:29:37+00:00
Affective Computing Has Changed: The Foundation Model Disruption,"The dawn of Foundation Models has on the one hand revolutionised a wide range
of research problems, and, on the other hand, democratised the access and use
of AI-based tools by the general public. We even observe an incursion of these
models into disciplines related to human psychology, such as the Affective
Computing domain, suggesting their affective, emerging capabilities. In this
work, we aim to raise awareness of the power of Foundation Models in the field
of Affective Computing by synthetically generating and analysing multimodal
affective data, focusing on vision, linguistics, and speech (acoustics). We
also discuss some fundamental problems, such as ethical issues and regulatory
aspects, related to the use of Foundation Models in this research area.",2024-09-13 15:20:18+00:00
Gaussian is All You Need: A Unified Framework for Solving Inverse Problems via Diffusion Posterior Sampling,"Diffusion models can generate a variety of high-quality images by modeling
complex data distributions. Trained diffusion models can also be very effective
image priors for solving inverse problems. Most of the existing diffusion-based
methods integrate data consistency steps within the diffusion reverse sampling
process. The data consistency steps rely on an approximate likelihood function.
In this paper, we show that the existing approximations are either insufficient
or computationally inefficient. To address these issues, we propose a unified
likelihood approximation method that incorporates a covariance correction term
to enhance the performance and avoids propagating gradients through the
diffusion model. The correction term, when integrated into the reverse
diffusion sampling process, achieves better convergence towards the true data
posterior for selected distributions and improves performance on real-world
natural image datasets. Furthermore, we present an efficient way to factorize
and invert the covariance matrix of the likelihood function for several inverse
problems. We present comprehensive experiments to demonstrate the effectiveness
of our method over several existing approaches.",2024-09-13 15:20:03+00:00
D2-MLP: Dynamic Decomposed MLP Mixer for Medical Image Segmentation,"Convolutional neural networks are widely used in various segmentation tasks
in medical images. However, they are challenged to learn global features
adaptively due to the inherent locality of convolutional operations. In
contrast, MLP Mixers are proposed as a backbone to learn global information
across channels with low complexity. However, they cannot capture spatial
features efficiently. Additionally, they lack effective mechanisms to fuse and
mix features adaptively. To tackle these limitations, we propose a novel
Dynamic Decomposed Mixer module. It is designed to employ novel Mixers to
extract features and aggregate information across different spatial locations
and channels. Additionally, it employs novel dynamic mixing mechanisms to model
inter-dependencies between channel and spatial feature representations and to
fuse them adaptively. Subsequently, we incorporate it into a U-shaped
Transformer-based architecture to generate a novel network, termed the Dynamic
Decomposed MLP Mixer. We evaluated it for medical image segmentation on two
datasets, and it achieved superior segmentation performance than other
state-of-the-art methods.",2024-09-13 15:16:28+00:00
AnyBipe: An End-to-End Framework for Training and Deploying Bipedal Robots Guided by Large Language Models,"Training and deploying reinforcement learning (RL) policies for robots,
especially in accomplishing specific tasks, presents substantial challenges.
Recent advancements have explored diverse reward function designs, training
techniques, simulation-to-reality (sim-to-real) transfers, and performance
analysis methodologies, yet these still require significant human intervention.
This paper introduces an end-to-end framework for training and deploying RL
policies, guided by Large Language Models (LLMs), and evaluates its
effectiveness on bipedal robots. The framework consists of three interconnected
modules: an LLM-guided reward function design module, an RL training module
leveraging prior work, and a sim-to-real homomorphic evaluation module. This
design significantly reduces the need for human input by utilizing only
essential simulation and deployment platforms, with the option to incorporate
human-engineered strategies and historical data. We detail the construction of
these modules, their advantages over traditional approaches, and demonstrate
the framework's capability to autonomously develop and refine controlling
strategies for bipedal robot locomotion, showcasing its potential to operate
independently of human intervention.",2024-09-13 15:15:45+00:00
